product_ID,name,price,rating,review_count,store,image_url,product_link,affiliate_link,menu,type,filter,subfilter
3,"Placa Mãe Gigabyte B550M AORUS ELITE (AM4/DDR4/HDMI/M.2(PCIe,NVMe,SATA3)/VRM Solution/USB3.2) - B550M AORUS ELITE","R$ 747,09","4,6",Contagem não disponível,Amazon,https://m.media-amazon.com/images/I/81QyMksmunL._AC_UL320_.jpg,https://www.amazon.com.br/PLACA-GIGABYTE-B550M-AORUS-ELITE/dp/B08BN8VD23/ref=sr_1_4?c=ts&dib=eyJ2IjoiMSJ9.GGkTfLHZ1mmBgWewPffWhfc7y4d7u7UEYbiUiVxA6A0Xa6UMafcPSAP_Ehdshqx2X9TO0FB3WcjulQbrmAQUIqrWqgmiagB9RF1zGOPnqqAKNxDRhfIPNTokKjfznYG7KJGZzqHUEU9i-dWffM1gyTV2Qlg4UuyhHC4blwBfL86wLS8XY6dFulgoG3aRFeNXrHdhQXD0XJDoxi5x2h-OrJDnpsk1LCQTTxwq60KKjd23YfsJn_n585k3oYuF3wCWh9YD88DPfV1Jr9VS2sFq5856IBjWR_1CJUZq6WS0oWY.tKRjXEmIlF59k6-GGWKm03MBIsl39vOah6xsp5BlVow&dib_tag=se&keywords=Placas-M%C3%A3e&qid=1773292339&refinements=p_123%3A219979%7C249156%7C3275935%7C358772%7C362090%7C378555%7C413739%7C679200&rnid=119962938011&s=computers&sr=1-4&ts_id=16364815011&xpid=VJzBpwEYNJk8t,https://www.amazon.com.br/dp/B08BN8VD23?tag=bragoon-20,computadores,componentes,placa_mae,
4,Placa Mãe Asus TUF GAMING A520M-PLUS II (AM4/4xDDR4/HDMI/DisplayPort/D-Sub/M.2/USB 3.2),"R$ 614,54","4,6",Contagem não disponível,Amazon,https://m.media-amazon.com/images/I/91lKZoY9CWL._AC_UL320_.jpg,https://www.amazon.com.br/Asus-GAMING-A520M-PLUS-4xDDR4-DisplayPort/dp/B08CKGW1D4/ref=sr_1_5?c=ts&dib=eyJ2IjoiMSJ9.GGkTfLHZ1mmBgWewPffWhfc7y4d7u7UEYbiUiVxA6A0Xa6UMafcPSAP_Ehdshqx2X9TO0FB3WcjulQbrmAQUIqrWqgmiagB9RF1zGOPnqqAKNxDRhfIPNTokKjfznYG7KJGZzqHUEU9i-dWffM1gyTV2Qlg4UuyhHC4blwBfL86wLS8XY6dFulgoG3aRFeNXrHdhQXD0XJDoxi5x2h-OrJDnpsk1LCQTTxwq60KKjd23YfsJn_n585k3oYuF3wCWh9YD88DPfV1Jr9VS2sFq5856IBjWR_1CJUZq6WS0oWY.tKRjXEmIlF59k6-GGWKm03MBIsl39vOah6xsp5BlVow&dib_tag=se&keywords=Placas-M%C3%A3e&qid=1773292339&refinements=p_123%3A219979%7C249156%7C3275935%7C358772%7C362090%7C378555%7C413739%7C679200&rnid=119962938011&s=computers&sr=1-5&ts_id=16364815011&xpid=VJzBpwEYNJk8t,https://www.amazon.com.br/dp/B08CKGW1D4?tag=bragoon-20,computadores,componentes,placa_mae,
5,Placa Mãe Gigabyte A520M K V2 (AM4/2xDDR4/HDMI/D-Sub/M.2/USB 3.2),"R$ 399,00","4,7",Contagem não disponível,Amazon,https://m.media-amazon.com/images/I/8167DVOm0ZL._AC_UL320_.jpg,https://www.amazon.com.br/Placa-Gigabyte-A520m-V2-Micro/dp/B0BXFBN121/ref=sr_1_6?c=ts&dib=eyJ2IjoiMSJ9.GGkTfLHZ1mmBgWewPffWhfc7y4d7u7UEYbiUiVxA6A0Xa6UMafcPSAP_Ehdshqx2X9TO0FB3WcjulQbrmAQUIqrWqgmiagB9RF1zGOPnqqAKNxDRhfIPNTokKjfznYG7KJGZzqHUEU9i-dWffM1gyTV2Qlg4UuyhHC4blwBfL86wLS8XY6dFulgoG3aRFeNXrHdhQXD0XJDoxi5x2h-OrJDnpsk1LCQTTxwq60KKjd23YfsJn_n585k3oYuF3wCWh9YD88DPfV1Jr9VS2sFq5856IBjWR_1CJUZq6WS0oWY.tKRjXEmIlF59k6-GGWKm03MBIsl39vOah6xsp5BlVow&dib_tag=se&keywords=Placas-M%C3%A3e&qid=1773292339&refinements=p_123%3A219979%7C249156%7C3275935%7C358772%7C362090%7C378555%7C413739%7C679200&rnid=119962938011&s=computers&sr=1-6&ts_id=16364815011&xpid=VJzBpwEYNJk8t,https://www.amazon.com.br/dp/B0BXFBN121?tag=bragoon-20,computadores,componentes,placa_mae,
6,Placa Mãe MSI A520M-A PRO (AM4/2xDDR4/HDMI/DVI-D/M.2/USB 3.2),"R$ 399,00","4,6",Contagem não disponível,Amazon,https://m.media-amazon.com/images/I/81sffemYJJS._AC_UL320_.jpg,https://www.amazon.com.br/Placa-m%C3%A3e-MSI-A520-Micro-DDR4-SDRAM/dp/B08HHMCCXV/ref=sr_1_7?c=ts&dib=eyJ2IjoiMSJ9.GGkTfLHZ1mmBgWewPffWhfc7y4d7u7UEYbiUiVxA6A0Xa6UMafcPSAP_Ehdshqx2X9TO0FB3WcjulQbrmAQUIqrWqgmiagB9RF1zGOPnqqAKNxDRhfIPNTokKjfznYG7KJGZzqHUEU9i-dWffM1gyTV2Qlg4UuyhHC4blwBfL86wLS8XY6dFulgoG3aRFeNXrHdhQXD0XJDoxi5x2h-OrJDnpsk1LCQTTxwq60KKjd23YfsJn_n585k3oYuF3wCWh9YD88DPfV1Jr9VS2sFq5856IBjWR_1CJUZq6WS0oWY.tKRjXEmIlF59k6-GGWKm03MBIsl39vOah6xsp5BlVow&dib_tag=se&keywords=Placas-M%C3%A3e&qid=1773292339&refinements=p_123%3A219979%7C249156%7C3275935%7C358772%7C362090%7C378555%7C413739%7C679200&rnid=119962938011&s=computers&sr=1-7&ts_id=16364815011&xpid=VJzBpwEYNJk8t,https://www.amazon.com.br/dp/B08HHMCCXV?tag=bragoon-20,computadores,componentes,placa_mae,
7,"Placa-Mãe ASUS B650M-AYW WIFI mATX, AM5, DDR5, PCIe 5.0, Wi-Fi 6 90MB1KI0-M0EAY0","R$ 899,00","5,0",Contagem não disponível,Amazon,https://m.media-amazon.com/images/I/612+3pyMUbL._AC_UL320_.jpg,https://www.amazon.com.br/Placa-M%C3%A3e-ASUS-B650M-AYW-Wi-Fi-90MB1KI0-M0EAY0/dp/B0FPGC6DGF/ref=sr_1_8?c=ts&dib=eyJ2IjoiMSJ9.GGkTfLHZ1mmBgWewPffWhfc7y4d7u7UEYbiUiVxA6A0Xa6UMafcPSAP_Ehdshqx2X9TO0FB3WcjulQbrmAQUIqrWqgmiagB9RF1zGOPnqqAKNxDRhfIPNTokKjfznYG7KJGZzqHUEU9i-dWffM1gyTV2Qlg4UuyhHC4blwBfL86wLS8XY6dFulgoG3aRFeNXrHdhQXD0XJDoxi5x2h-OrJDnpsk1LCQTTxwq60KKjd23YfsJn_n585k3oYuF3wCWh9YD88DPfV1Jr9VS2sFq5856IBjWR_1CJUZq6WS0oWY.tKRjXEmIlF59k6-GGWKm03MBIsl39vOah6xsp5BlVow&dib_tag=se&keywords=Placas-M%C3%A3e&qid=1773292339&refinements=p_123%3A219979%7C249156%7C3275935%7C358772%7C362090%7C378555%7C413739%7C679200&rnid=119962938011&s=computers&sr=1-8&ts_id=16364815011&xpid=VJzBpwEYNJk8t,https://www.amazon.com.br/dp/B0FPGC6DGF?tag=bragoon-20,computadores,componentes,placa_mae,
8,"Placa-Mãe ASUS TUF Gaming B550M-PLUS AM4 mATX — Suporte Ryzen, PCIe 4.0, M.2 NVMe, DDR4, HDMI/DP, LAN Gigabit, Durabilidade Militar para PC Gamer","R$ 939,90","4,8",Contagem não disponível,Amazon,https://m.media-amazon.com/images/I/81mjtZOzG0L._AC_UL320_.jpg,https://www.amazon.com.br/Placa-Asus-TUF-GAMING-B550M-PLUS/dp/B089HDJS79/ref=sr_1_9?c=ts&dib=eyJ2IjoiMSJ9.GGkTfLHZ1mmBgWewPffWhfc7y4d7u7UEYbiUiVxA6A0Xa6UMafcPSAP_Ehdshqx2X9TO0FB3WcjulQbrmAQUIqrWqgmiagB9RF1zGOPnqqAKNxDRhfIPNTokKjfznYG7KJGZzqHUEU9i-dWffM1gyTV2Qlg4UuyhHC4blwBfL86wLS8XY6dFulgoG3aRFeNXrHdhQXD0XJDoxi5x2h-OrJDnpsk1LCQTTxwq60KKjd23YfsJn_n585k3oYuF3wCWh9YD88DPfV1Jr9VS2sFq5856IBjWR_1CJUZq6WS0oWY.tKRjXEmIlF59k6-GGWKm03MBIsl39vOah6xsp5BlVow&dib_tag=se&keywords=Placas-M%C3%A3e&qid=1773292339&refinements=p_123%3A219979%7C249156%7C3275935%7C358772%7C362090%7C378555%7C413739%7C679200&rnid=119962938011&s=computers&sr=1-9&ts_id=16364815011&xpid=VJzBpwEYNJk8t,https://www.amazon.com.br/dp/B089HDJS79?tag=bragoon-20,computadores,componentes,placa_mae,
9,"Placa Mãe AM4/USB 3.1/Type-C/Displayport, HDMI, ASRock, B450M Steel Legend","R$ 699,00","4,7",Contagem não disponível,Amazon,https://m.media-amazon.com/images/I/71VAf1UbEML._AC_UL320_.jpg,https://www.amazon.com.br/Type-C-Displayport-ASRock-B450M-Legend/dp/B07MV9BMNY/ref=sr_1_10?c=ts&dib=eyJ2IjoiMSJ9.GGkTfLHZ1mmBgWewPffWhfc7y4d7u7UEYbiUiVxA6A0Xa6UMafcPSAP_Ehdshqx2X9TO0FB3WcjulQbrmAQUIqrWqgmiagB9RF1zGOPnqqAKNxDRhfIPNTokKjfznYG7KJGZzqHUEU9i-dWffM1gyTV2Qlg4UuyhHC4blwBfL86wLS8XY6dFulgoG3aRFeNXrHdhQXD0XJDoxi5x2h-OrJDnpsk1LCQTTxwq60KKjd23YfsJn_n585k3oYuF3wCWh9YD88DPfV1Jr9VS2sFq5856IBjWR_1CJUZq6WS0oWY.tKRjXEmIlF59k6-GGWKm03MBIsl39vOah6xsp5BlVow&dib_tag=se&keywords=Placas-M%C3%A3e&qid=1773292339&refinements=p_123%3A219979%7C249156%7C3275935%7C358772%7C362090%7C378555%7C413739%7C679200&rnid=119962938011&s=computers&sr=1-10&ts_id=16364815011&xpid=VJzBpwEYNJk8t,https://www.amazon.com.br/dp/B07MV9BMNY?tag=bragoon-20,computadores,componentes,placa_mae,
10,"ASUS Placa-mãe Prime A520M-R AMD Ryzen AM4 mATX com suporte M.2, Realtek 1Gb Ethernet, HDMI, SATA 6Gbps, suporte USB 5Gbps traseiro e frontal, preto","R$ 428,00","4,7",Contagem não disponível,Amazon,https://m.media-amazon.com/images/I/81qlMZ41b4L._AC_UL320_.jpg,https://www.amazon.com.br/ASUS-Placa-m%C3%A3e-A520M-R-Ethernet-traseiro/dp/B086ZSZ3MK/ref=sr_1_11?c=ts&dib=eyJ2IjoiMSJ9.GGkTfLHZ1mmBgWewPffWhfc7y4d7u7UEYbiUiVxA6A0Xa6UMafcPSAP_Ehdshqx2X9TO0FB3WcjulQbrmAQUIqrWqgmiagB9RF1zGOPnqqAKNxDRhfIPNTokKjfznYG7KJGZzqHUEU9i-dWffM1gyTV2Qlg4UuyhHC4blwBfL86wLS8XY6dFulgoG3aRFeNXrHdhQXD0XJDoxi5x2h-OrJDnpsk1LCQTTxwq60KKjd23YfsJn_n585k3oYuF3wCWh9YD88DPfV1Jr9VS2sFq5856IBjWR_1CJUZq6WS0oWY.tKRjXEmIlF59k6-GGWKm03MBIsl39vOah6xsp5BlVow&dib_tag=se&keywords=Placas-M%C3%A3e&qid=1773292339&refinements=p_123%3A219979%7C249156%7C3275935%7C358772%7C362090%7C378555%7C413739%7C679200&rnid=119962938011&s=computers&sr=1-11&ts_id=16364815011&xpid=VJzBpwEYNJk8t,https://www.amazon.com.br/dp/B086ZSZ3MK?tag=bragoon-20,computadores,componentes,placa_mae,
11,"1000Mbps B75 Placa Mãe Pci Express Chipset Intel 1155 Ddr3 Usb 2.0 16gb, Compatível com CPU da série LGA1155 Socket I3/I5/I7","R$ 160,65","4,2",Contagem não disponível,Amazon,https://m.media-amazon.com/images/I/7198CD5DmCL._AC_UL320_.jpg,https://www.amazon.com.br/1000Mbps-Express-Chipset-Compat%C3%ADvel-LGA1155/dp/B0CDRSKGC2/ref=sr_1_12?c=ts&dib=eyJ2IjoiMSJ9.GGkTfLHZ1mmBgWewPffWhfc7y4d7u7UEYbiUiVxA6A0Xa6UMafcPSAP_Ehdshqx2X9TO0FB3WcjulQbrmAQUIqrWqgmiagB9RF1zGOPnqqAKNxDRhfIPNTokKjfznYG7KJGZzqHUEU9i-dWffM1gyTV2Qlg4UuyhHC4blwBfL86wLS8XY6dFulgoG3aRFeNXrHdhQXD0XJDoxi5x2h-OrJDnpsk1LCQTTxwq60KKjd23YfsJn_n585k3oYuF3wCWh9YD88DPfV1Jr9VS2sFq5856IBjWR_1CJUZq6WS0oWY.tKRjXEmIlF59k6-GGWKm03MBIsl39vOah6xsp5BlVow&dib_tag=se&keywords=Placas-M%C3%A3e&qid=1773292339&refinements=p_123%3A219979%7C249156%7C3275935%7C358772%7C362090%7C378555%7C413739%7C679200&rnid=119962938011&s=computers&sr=1-12&ts_id=16364815011&xpid=VJzBpwEYNJk8t,https://www.amazon.com.br/dp/B0CDRSKGC2?tag=bragoon-20,computadores,componentes,placa_mae,
12,Placa Mãe Asus PRIME A620M-K (AM5/2xDDR5/HDMI/DP/VGA/M.2/USB 3.2),"R$ 639,90","4,5",Contagem não disponível,Amazon,https://m.media-amazon.com/images/I/817+elEw+eL._AC_UL320_.jpg,https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo4NDQzNTY5MTA4MTg1MjIzOjE3NzMyOTIzNDA6c3BfbXRmOjMwMTE0NTY3OTk5OTIwMjo6MDo6&url=%2FPlaca-Asus-PRIME-A620M-K-2xDDR5%2Fdp%2FB0C6HWSX8C%2Fref%3Dsr_1_13_sspa%3Fc%3Dts%26dib%3DeyJ2IjoiMSJ9.GGkTfLHZ1mmBgWewPffWhfc7y4d7u7UEYbiUiVxA6A0Xa6UMafcPSAP_Ehdshqx2X9TO0FB3WcjulQbrmAQUIqrWqgmiagB9RF1zGOPnqqAKNxDRhfIPNTokKjfznYG7KJGZzqHUEU9i-dWffM1gyTV2Qlg4UuyhHC4blwBfL86wLS8XY6dFulgoG3aRFeNXrHdhQXD0XJDoxi5x2h-OrJDnpsk1LCQTTxwq60KKjd23YfsJn_n585k3oYuF3wCWh9YD88DPfV1Jr9VS2sFq5856IBjWR_1CJUZq6WS0oWY.tKRjXEmIlF59k6-GGWKm03MBIsl39vOah6xsp5BlVow%26dib_tag%3Dse%26keywords%3DPlacas-M%25C3%25A3e%26qid%3D1773292339%26refinements%3Dp_123%253A219979%257C249156%257C3275935%257C358772%257C362090%257C378555%257C413739%257C679200%26rnid%3D119962938011%26s%3Dcomputers%26sr%3D1-13-spons%26ts_id%3D16364815011%26xpid%3DVJzBpwEYNJk8t%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://www.amazon.com.br/dp/B0CDRSKGC2?tag=bragoon-20,computadores,componentes,placa_mae,
